"id","x","y","rep","collections"
15,118.5,0.5,1,5
27,24.5,39.5,1,1
32,-79.5,27.5,1,1
38,13.5,43.5,1,1
40,13.5,43.5,1,1
56,27.5,36.5,1,7
64,27.5,36.5,1,7
72,40.5,43.5,1,1
72,31.5,45.5,1,2
78,-118.5,36.5,1,2
109,40.5,43.5,1,1
140,139.5,36.5,1,2
187,19.5,38.5,1,14
225,13.5,42.5,1,10
225,13.5,41.5,1,1
225,14.5,42.5,1,8
225,13.5,43.5,1,1
294,12.5,42.5,1,4
303,118.5,0.5,1,5
342,13.5,43.5,1,1
342,16.5,40.5,1,1
395,5.5,43.5,1,1
395,9.5,43.5,1,21
466,5.5,43.5,1,1
466,8.5,43.5,1,1
466,12.5,42.5,1,4
519,24.5,39.5,1,1
534,-59.5,-63.5,1,1
542,19.5,38.5,1,14
552,15.5,38.5,1,1
552,18.5,28.5,1,1
552,13.5,42.5,1,10
552,19.5,38.5,1,14
628,14.5,42.5,1,8
628,15.5,38.5,1,1
644,-59.5,-63.5,1,1
673,31.5,45.5,1,2
677,33.5,44.5,1,1
677,40.5,43.5,1,1
698,11.5,41.5,1,2
698,13.5,41.5,1,1
698,14.5,42.5,1,8
698,12.5,42.5,1,4
710,24.5,39.5,1,1
710,19.5,38.5,1,14
718,110.5,-7.5,1,1
719,5.5,43.5,1,1
719,8.5,43.5,1,1
719,9.5,43.5,1,21
753,9.5,43.5,1,21
758,-79.5,27.5,1,1
777,40.5,43.5,1,1
784,11.5,41.5,1,2
899,27.5,36.5,1,7
922,33.5,44.5,1,1
959,33.5,44.5,1,1
967,9.5,43.5,1,21
92,15.5,38.5,2,1
92,11.5,41.5,2,2
92,14.5,42.5,2,8
92,16.5,40.5,2,1
92,13.5,42.5,2,10
92,13.5,41.5,2,1
92,12.5,42.5,2,4
144,110.5,-7.5,2,1
185,176.5,-41.5,2,1
224,12.5,44.5,2,1
229,-69.5,-26.5,2,2
437,16.5,40.5,2,1
437,13.5,41.5,2,1
439,9.5,43.5,2,21
445,24.5,39.5,2,1
485,140.5,43.5,2,1
497,13.5,43.5,2,1
497,12.5,44.5,2,1
497,14.5,42.5,2,8
508,15.5,38.5,2,1
513,139.5,36.5,2,2
536,173.5,-47.5,2,2
596,-80.5,9.5,2,20
601,140.5,44.5,2,2
622,19.5,38.5,2,14
623,140.5,43.5,2,1
650,5.5,43.5,2,1
652,27.5,36.5,2,7
652,15.5,38.5,2,1
689,24.5,39.5,2,1
689,13.5,42.5,2,10
696,27.5,36.5,2,7
749,16.5,-31.5,2,4
755,110.5,-7.5,2,1
774,-74.5,38.5,2,10
774,-74.5,37.5,2,4
777,14.5,42.5,2,8
777,13.5,41.5,2,1
838,140.5,44.5,2,2
876,-74.5,37.5,2,4
976,-79.5,27.5,2,1
992,-79.5,27.5,2,1
5,16.5,40.5,3,1
24,178.5,-44.5,3,2
47,8.5,43.5,3,1
47,12.5,44.5,3,1
52,33.5,44.5,3,1
61,16.5,40.5,3,1
61,11.5,41.5,3,2
73,14.5,42.5,3,8
79,31.5,45.5,3,2
157,40.5,-12.5,3,1
232,-68.5,11.5,3,2
239,5.5,43.5,3,1
351,18.5,28.5,3,1
466,40.5,-12.5,3,1
471,140.5,44.5,3,2
493,27.5,36.5,3,7
556,24.5,39.5,3,1
570,33.5,44.5,3,1
576,13.5,42.5,3,10
630,12.5,44.5,3,1
645,-69.5,-26.5,3,2
654,178.5,-44.5,3,2
664,40.5,43.5,3,1
692,176.5,-41.5,3,1
705,15.5,38.5,3,1
705,16.5,40.5,3,1
714,13.5,43.5,3,1
714,5.5,43.5,3,1
746,176.5,-41.5,3,1
746,173.5,-47.5,3,2
746,178.5,-44.5,3,2
795,24.5,39.5,3,1
795,40.5,43.5,3,1
809,176.5,-41.5,3,1
850,-118.5,36.5,3,2
850,-117.5,35.5,3,1
921,40.5,-12.5,3,1
962,13.5,43.5,3,1
983,33.5,44.5,3,1
987,31.5,45.5,3,2
121,178.5,-44.5,4,2
157,176.5,-41.5,4,1
190,176.5,-41.5,4,1
207,13.5,42.5,4,10
235,176.5,-41.5,4,1
264,140.5,44.5,4,2
311,8.5,43.5,4,1
344,19.5,38.5,4,14
344,27.5,36.5,4,7
345,12.5,44.5,4,1
365,9.5,43.5,4,21
365,14.5,42.5,4,8
389,140.5,43.5,4,1
414,24.5,39.5,4,1
598,-78.5,9.5,4,25
601,110.5,-7.5,4,1
650,140.5,44.5,4,2
677,176.5,-41.5,4,1
687,110.5,-7.5,4,1
687,118.5,0.5,4,5
691,-74.5,38.5,4,10
715,-79.5,27.5,4,1
828,140.5,43.5,4,1
856,31.5,45.5,4,2
860,24.5,39.5,4,1
871,140.5,43.5,4,1
876,139.5,36.5,4,2
878,24.5,39.5,4,1
878,19.5,38.5,4,14
901,8.5,43.5,4,1
904,-78.5,9.5,4,25
18,-78.5,9.5,5,25
75,-68.5,11.5,5,2
84,31.5,45.5,5,2
110,-59.5,-63.5,5,1
125,140.5,43.5,5,1
134,-79.5,27.5,5,1
144,-74.5,37.5,5,4
165,16.5,-31.5,5,4
199,-74.5,38.5,5,10
242,8.5,43.5,5,1
275,19.5,38.5,5,14
335,16.5,-31.5,5,4
356,15.5,38.5,5,1
358,-74.5,37.5,5,4
375,110.5,-7.5,5,1
415,173.5,-47.5,5,2
456,18.5,28.5,5,1
484,14.5,42.5,5,8
484,19.5,38.5,5,14
484,13.5,41.5,5,1
484,16.5,40.5,5,1
484,13.5,43.5,5,1
515,139.5,36.5,5,2
578,173.5,-47.5,5,2
616,33.5,44.5,5,1
621,140.5,44.5,5,2
621,140.5,43.5,5,1
658,11.5,41.5,5,2
699,110.5,-7.5,5,1
706,178.5,-44.5,5,2
711,110.5,-7.5,5,1
716,33.5,44.5,5,1
716,31.5,45.5,5,2
731,13.5,42.5,5,10
731,12.5,42.5,5,4
767,13.5,43.5,5,1
767,12.5,42.5,5,4
783,-79.5,27.5,5,1
984,176.5,-41.5,5,1
49,12.5,42.5,6,4
90,-79.5,27.5,6,1
94,11.5,41.5,6,2
115,140.5,44.5,6,2
123,173.5,-47.5,6,2
136,19.5,38.5,6,14
157,139.5,36.5,6,2
162,24.5,39.5,6,1
166,9.5,43.5,6,21
201,-80.5,9.5,6,20
220,16.5,40.5,6,1
220,13.5,41.5,6,1
220,13.5,42.5,6,10
220,15.5,38.5,6,1
220,13.5,43.5,6,1
220,12.5,42.5,6,4
249,176.5,-41.5,6,1
249,178.5,-44.5,6,2
294,16.5,40.5,6,1
321,118.5,0.5,6,5
383,8.5,43.5,6,1
417,27.5,36.5,6,7
427,-74.5,38.5,6,10
434,140.5,43.5,6,1
461,40.5,43.5,6,1
499,-117.5,35.5,6,1
499,-118.5,36.5,6,2
522,15.5,38.5,6,1
537,-78.5,9.5,6,25
554,40.5,-12.5,6,1
563,12.5,44.5,6,1
563,11.5,41.5,6,2
563,14.5,42.5,6,8
579,176.5,-41.5,6,1
614,18.5,28.5,6,1
648,-68.5,11.5,6,2
793,-118.5,36.5,6,2
820,24.5,39.5,6,1
820,27.5,36.5,6,7
847,40.5,43.5,6,1
849,-78.5,9.5,6,25
923,16.5,-31.5,6,4
930,-74.5,37.5,6,4
939,118.5,0.5,6,5
6,-79.5,27.5,7,1
18,16.5,40.5,7,1
18,12.5,44.5,7,1
42,24.5,39.5,7,1
54,16.5,-31.5,7,4
174,-79.5,27.5,7,1
193,118.5,0.5,7,5
225,16.5,40.5,7,1
225,11.5,41.5,7,2
230,12.5,44.5,7,1
255,12.5,42.5,7,4
292,11.5,41.5,7,2
