"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0,0,0
2,75,60,67.5,"N",0.01,0,0
3,60,45,52.5,"N",0.38,0,2
4,45,30,37.5,"N",18.07,11,25.525
5,30,15,22.5,"N",19.73,11.95,28.525
6,15,0,7.5,"N",0,0,0
7,0,-15,-7.5,"S",4.84,1.475,10
8,-15,-30,-22.5,"S",0,0,0
9,-30,-45,-37.5,"S",0,0,0
10,-45,-60,-52.5,"S",0,0,0
11,-60,-75,-67.5,"S",0,0,0
12,-75,-90,-82.5,"S",0,0,0
