"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"3644",13063,"col","Pińczów Limestone",20.526388,50.520279,"Nowa Wies",NA,"Pinczow",4,"Langhian","",15.97,13.82,10900,"gp_mid",22.03,47.5,"305",1,14.895,"langhian",1
"5126",28368,"col","Calvert",-76.870834,38.170555,"Horsehead Cliffs, Zone 12-13",NA,"Westmoreland State Park\r\n",6,"Langhian","",15.97,13.82,7804,"gp_mid",-69.82,39.86,"109",1,14.895,"langhian",1
"5483",31316,"col","",0.133333,44.049999,"Sos",NA,"Matilon",24,"Langhian","",15.97,13.82,8464,"gp_mid",2.34,41.52,"305",1,14.895,"langhian",1
"5488",31326,"col","",0.083333,44.083332,"Carriere de Lapeyrie, Rimbez",NA,"Rimbez-es-Baudiets, Rimbez et Baudiets",24,"Langhian","",15.97,13.82,8464,"gp_mid",2.3,41.55,"305",1,14.895,"langhian",1
"8476",37494,"col","",16.483299,-28.5833,"Orange River Core 3",NA,"",23,"Langhian","",15.97,13.82,10031,"gp_mid",15.03,-32.36,"701",1,14.895,"langhian",1
"9327",38818,"col","",20.516666,50.666668,"Mt. Lysa, Holy Cross Mts.",NA,"Reef 732",14,"Langhian","",15.97,13.82,10456,"gp_mid",22.02,47.65,"305",1,14.895,"langhian",1
"9328",38819,"col","",20.516666,50.666668,"Korytnica-Plebania, Holy Cross Mts.",NA,"Reef 732",7,"Langhian","",15.97,13.82,10456,"gp_mid",22.02,47.65,"305",1,14.895,"langhian",1
"9329",38820,"col","",20.549999,50.666668,"Arable fields near Karsy, Holy Cross Mts.",NA,"Reef 732",1,"Langhian","",15.97,13.82,10456,"gp_mid",22.05,47.65,"305",1,14.895,"langhian",1
"9330",38821,"col","",20.549999,50.666668,"Karsy, Holy Cross Mts.",NA,"Reef 732",2,"Langhian","",15.97,13.82,10456,"gp_mid",22.05,47.65,"305",1,14.895,"langhian",1
"9331",38822,"col","",20.516666,50.666668,"Arable fields surr. Korytnica, Holy Cross Mts.",NA,"Reef 732",6,"Langhian","",15.97,13.82,10456,"gp_mid",22.02,47.65,"305",1,14.895,"langhian",1
"9333",38824,"col","",20.583332,50.633331,"Wierzbica, Holy Cross Mts.",NA,"Reef 732",1,"Langhian","",15.97,13.82,10456,"gp_mid",22.08,47.61,"305",1,14.895,"langhian",1
"13329",44958,"col","",131.850006,34.666668,"Masuda, San-in",NA,"",47,"Langhian","",15.97,13.82,11713,"gp_mid",129.5,34.2,"610",1,14.895,"langhian",1
"13330",44959,"col","",132.066666,34.883331,"Hamada, San-in",NA,"",49,"Langhian","",15.97,13.82,11713,"gp_mid",129.7,34.43,"610",1,14.895,"langhian",1
"13331",44960,"col","",132.399994,35.133331,"Nima, San-in",NA,"",64,"Langhian","",15.97,13.82,11713,"gp_mid",130.02,34.69,"610",1,14.895,"langhian",1
"13332",44961,"col","",133.016663,34.849998,"Shobara, San-in, Japan",NA,"",53,"Langhian","",15.97,13.82,11713,"gp_mid",130.65,34.44,"610",1,14.895,"langhian",1
"13339",44970,"col","",132.53334,34.900002,"Takami, San-in, Japan",NA,"",48,"Langhian","",15.97,13.82,11713,"gp_mid",130.16,34.47,"610",1,14.895,"langhian",1
"13607",45508,"col","Calvert",-76.847778,38.166389,"Stratford Bluffs, Zone 14-16",NA,"Stratford Cliffs, Big Meadow",10,"Langhian","",15.97,13.82,11917,"gp_mid",-69.79,39.86,"109",1,14.895,"langhian",1
"13714",45659,"col","Gee Greensand",170.895004,-45.19389,"All Day Bay",NA,"J42/f12",3,"Langhian","",15.97,13.82,12137,"gp_mid",-175.91,-46.69,"807",1,14.895,"langhian",1
"13973",46165,"col","Port Campbell Limestone",141.933334,-37.724998,"Clifton Bank, Muddy Creek (Vaginella band)",NA,"",29,"Langhian","",15.97,13.82,12318,"gp_mid",144.99,-46.09,"801",1,14.895,"langhian",1
"14198",46585,"col","Chikubetsu",141.803894,44.511112,"Shosanbetsu: Whale Fall Community",NA,"",12,"Langhian","",15.97,13.82,12435,"gp_mid",138.69,44.46,"610",1,14.895,"langhian",1
"15096",48029,"col","",16.332222,48.218056,"Hernals",NA,"Sarmat, Wolf Sandpit, Baumann Sandpit",9,"Langhian","",15.97,13.82,12127,"gp_mid",17.98,45.27,"305",1,14.895,"langhian",1
"15409",48883,"col","Calvert",-76.966667,38.224445,"Colonial Beach, south, Zone 12",NA,"",1,"Langhian","",15.97,13.82,13046,"gp_mid",-69.91,39.92,"109",1,14.895,"langhian",1
"15605",49397,"col","",8.470556,44.675556,"Acqui",NA,"Aqui",1,"Langhian","",15.97,13.82,13196,"gp_mid",11.11,41.21,"307",1,14.895,"langhian",1
"16662",51387,"col","Port Campbell Limestone",142.933334,-38.450001,"Curdie",NA,"Kurdeez Quarry\r\nVictorian Agricultural Lime Ltd.",2,"Langhian","",15.97,13.82,4350,"gp_mid",146.26,-46.7,"801",1,14.895,"langhian",1
"17102",52068,"col","Bessho",140.137222,39.560001,"Izumeda",NA,"Aoki",1,"Langhian","",15.97,13.82,12317,"gp_mid",137.42,39.44,"610",1,14.895,"langhian",1
"18530",55394,"col","",16.544167,47.907223,"Mayer GmbH",NA,"",17,"Langhian","",15.97,13.82,14893,"gp_mid",18.98,44.04,"308",1,14.895,"langhian",1
"18687",55652,"col","Tonokita",144,43.166668,"Akan-cho",NA,"",5,"Langhian","",15.97,13.82,15028,"gp_mid",141,43.21,"609",1,14.895,"langhian",1
"18716",55690,"col","Calvert",-77.28389,37.767223,"Mill Pond Creek, Zone 14-16",NA,"",7,"Langhian","",15.97,13.82,24633,"gp_mid",-70.29,39.49,"109",1,14.895,"langhian",1
"19040",56305,"col","Tsurushi",138.257507,37.843887,"Dogama",NA,"Sohama beach, Ogi",5,"Langhian","",15.97,13.82,15168,"gp_mid",135.66,37.65,"610",1,14.895,"langhian",1
"19423",57110,"col","Calvert",-77.422501,37.53389,"Shockoe Creek",NA,"",1,"Langhian","",15.97,13.82,33212,"gp_mid",-70.46,39.27,"109",1,14.895,"langhian",1
"19424",57111,"col","Calvert",-77.430832,37.538055,"Fourteenth Street",NA,"Ballard Street",6,"Langhian","",15.97,13.82,15419,"gp_mid",-70.46,39.27,"109",1,14.895,"langhian",1
"19426",57113,"col","Calvert",-77.447777,37.540001,"State Penitentiary",NA,"",2,"Langhian","",15.97,13.82,33212,"gp_mid",-70.48,39.28,"109",1,14.895,"langhian",1
"19954",57700,"col","Calvert",-77.514442,37.927223,"Carmel Church Quarry",NA,"Caroline Stone Quarry",73,"Langhian","",15.97,13.82,15522,"gp_mid",-70.5,39.67,"109",1,14.895,"langhian",1
"20016",57775,"col","Bessho",137.996948,36.326668,"Hofuku-ji River",NA,"Shiga",1,"Langhian","",15.97,13.82,15537,"gp_mid",135.51,36.12,"610",1,14.895,"langhian",1
"20026",57784,"col","Calvert",-76.9375,38.201389,"George Washington Birthplace National Monument, Zone 12",NA,"Wakefield National Park",3,"Langhian","",15.97,13.82,15550,"gp_mid",-69.88,39.9,"109",1,14.895,"langhian",1
"20027",57785,"col","Calvert",-76.940277,38.207222,"Church Point, east of, Zone 12-13",NA,"",4,"Langhian","",15.97,13.82,15550,"gp_mid",-69.88,39.9,"109",1,14.895,"langhian",1
"20029",57787,"col","Calvert",-76.943611,38.205833,"Heywood Cliffs, Zone 12",NA,"",1,"Langhian","",15.97,13.82,15550,"gp_mid",-69.89,39.9,"109",1,14.895,"langhian",1
"20809",59153,"col","Moniwa",140.232773,38.199165,"Goishi",NA,"",1,"Langhian","",15.97,13.82,25205,"gp_mid",137.61,38.09,"610",1,14.895,"langhian",1
"21184",59667,"col","",141.711395,44.380554,"Haboro, Langhian",NA,"",1,"Langhian","",15.97,13.82,14859,"gp_mid",138.61,44.32,"610",1,14.895,"langhian",1
"25059",66065,"col","Calvert",-77.108612,37.655556,"Grimes Landing",NA,"Piping Tree Ferry, Locality 45, Stop 17",7,"Langhian","",15.97,13.82,18921,"gp_mid",-70.12,39.37,"109",1,14.895,"langhian",1
"27392",70056,"col","Girbova de Sus",23.633333,46.433334,"Podeni, coral build-ups, Cluj",NA,"Reef 1623",16,"Langhian","",15.97,13.82,23519,"gp_mid",25.46,42.28,"308",1,14.895,"langhian",1
"27393",70057,"col","Girbova de Sus",23.633333,46.466667,"Pietroasa, patch reef, Cluj",NA,"Reef 1623",1,"Langhian","",15.97,13.82,23519,"gp_mid",25.46,42.31,"308",1,14.895,"langhian",1
