"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"4479",24798,"col","",-1.6702,46.437599,"L'Anse de la République tracksite, F6",NA,"Veillon, Republique Cove, principal slab",5,"Rhaetian","",208.5,201.3,6952,"gp_mid",12.09,29.89,"305",1,204.9,"rhaetian",1
"5004",27953,"col","Koessen",9,47,"Gaissau 1",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5005",27954,"col","Koessen",9,47,"Gaissau 3",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5006",27955,"col","Koessen",9,47,"Gaissau 4",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5007",27956,"col","Koessen",9,47,"Gaissau 6",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5008",27957,"col","Koessen",9,47,"Gaissau 7-1",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5009",27958,"col","Koessen",9,47,"Gaissau 9",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5016",27965,"col","Koessen",9,47,"Gaissau 10",NA,"",7,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5017",27966,"col","Koessen",9,47,"Gaissau 11",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
"5018",27967,"col","Koessen",9,47,"Gaissau 13",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",19.5,33.65,"305",1,204.9,"rhaetian",1
