"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"3019",121824,"col","Jungle Creek",-136.130005,65.879997,"JBW229, Section 116H-1A, Peel River",NA,"",1,"Sakmarian","",295.5,290.1,29759,"gp_mid",-23.26,37.02,"101",1,292.8,"sakmarian",1
"3020",121825,"col","Jungle Creek",-136.130005,65.879997,"JBW232, Section 116H-1A, Peel River",NA,"",1,"Sakmarian","",295.5,290.1,29759,"gp_mid",-23.26,37.02,"101",1,292.8,"sakmarian",1
"3073",121758,"col","Jungle Creek",-136.147995,65.880997,"GSC 53708, Section 116H-1A, Peel River",NA,"",1,"Sakmarian","",295.5,290.1,29759,"gp_mid",-23.26,37.03,"101",1,292.8,"sakmarian",1
"3074",121759,"col","Jungle Creek",-136.542007,65.824997,"GSC 53813, Section 116H-17, Peel River",NA,"",1,"Sakmarian","",295.5,290.1,29759,"gp_mid",-23.41,37.15,"101",1,292.8,"sakmarian",1
"3075",121760,"col","Jungle Creek",-136.542007,65.824997,"GSC 53814, Section 116H-17, Peel River",NA,"",1,"Sakmarian","",295.5,290.1,29759,"gp_mid",-23.41,37.15,"101",1,292.8,"sakmarian",1
"3085",121757,"col","Jungle Creek",-136.147995,65.880997,"GSC 53706 Section 116H-1A, Peel River",NA,"",1,"Sakmarian","",295.5,290.1,29759,"gp_mid",-23.26,37.03,"101",1,292.8,"sakmarian",1
"3090",121747,"col","Jungle Creek",-136.205994,65.875999,"JBW225, Section 116H-1D, Peel River",NA,"",2,"Sakmarian","",295.5,290.1,3813,"gp_mid",-23.28,37.05,"101",1,292.8,"sakmarian",1
"3092",121749,"col","Jungle Creek",-136.502777,67.51722,"GSC 54011, Section 116P-10, Richardson Mountains ",NA,"",2,"Sakmarian","",295.5,290.1,3813,"gp_mid",-21.46,37.84,"101",1,292.8,"sakmarian",1
"3095",121738,"col","Jungle Creek",-136.147995,65.880997,"GSC 53711, Section 116H-1A, Peel River",NA,"",1,"Sakmarian","",295.5,290.1,3813,"gp_mid",-23.26,37.03,"101",1,292.8,"sakmarian",1
"9343",38840,"col","",-115.058334,36.650002,"Wamp Spring, Unit 34",NA,"",1,"Sakmarian","",295.5,290.1,10478,"gp_mid",-39.25,8.82,"101",1,292.8,"sakmarian",1
"9344",38841,"col","",-115.058334,36.650002,"Wamp Spring, Unit 35",NA,"",1,"Sakmarian","",295.5,290.1,10478,"gp_mid",-39.25,8.82,"101",1,292.8,"sakmarian",1
"9345",38842,"col","",-115.058334,36.650002,"Wamp Spring, Unit 36",NA,"",1,"Sakmarian","",295.5,290.1,10478,"gp_mid",-39.25,8.82,"101",1,292.8,"sakmarian",1
"9346",38843,"col","",-115.058334,36.650002,"Wamp Spring, Unit 38",NA,"",6,"Sakmarian","",295.5,290.1,10478,"gp_mid",-39.25,8.82,"101",1,292.8,"sakmarian",1
"9347",38844,"col","",-115.058334,36.650002,"Wamp Spring, Unit 39",NA,"",4,"Sakmarian","",295.5,290.1,10478,"gp_mid",-39.25,8.82,"101",1,292.8,"sakmarian",1
"9348",38845,"col","",-115.058334,36.650002,"Wamp Spring, Unit 40",NA,"",3,"Sakmarian","",295.5,290.1,10478,"gp_mid",-39.25,8.82,"101",1,292.8,"sakmarian",1
"9349",38846,"col","",-115.061111,36.640278,"Wamp Spring, Supplementary Unit A",NA,"",10,"Sakmarian","",295.5,290.1,10478,"gp_mid",-39.26,8.81,"101",1,292.8,"sakmarian",1
"9478",39150,"col","Hueco",-106.876999,32.373001,"Robledo Mountains L-03011",NA,"",17,"Sakmarian","",295.5,290.1,10570,"gp_mid",-36.66,1.27,"101",1,292.8,"sakmarian",1
"9479",39151,"col","Hueco",-106.877998,32.374001,"Robledo Mountains L-03017",NA,"",15,"Sakmarian","",295.5,290.1,10570,"gp_mid",-36.66,1.27,"101",1,292.8,"sakmarian",1
"9481",39152,"col","Hueco",-106.877998,32.372002,"Robledo Mountains L-03018",NA,"",8,"Sakmarian","",295.5,290.1,10570,"gp_mid",-36.66,1.27,"101",1,292.8,"sakmarian",1
"9482",39153,"col","Hueco",-106.873497,32.372501,"Robledo Mountains UNM-1465",NA,"",30,"Sakmarian","",295.5,290.1,10570,"gp_mid",-36.66,1.27,"101",1,292.8,"sakmarian",1
"9483",39154,"col","Hueco",-106.880997,32.367001,"Robledo Mountains L-03012",NA,"",54,"Sakmarian","",295.5,290.1,10570,"gp_mid",-36.67,1.27,"101",1,292.8,"sakmarian",1
"9484",39155,"col","Hueco",-106.880997,32.365002,"Robledo Mountains L-03013",NA,"",51,"Sakmarian","",295.5,290.1,10570,"gp_mid",-36.67,1.27,"101",1,292.8,"sakmarian",1
"9485",39156,"col","Hueco",-106.912498,32.366669,"Robledo Mountains L-03014",NA,"",8,"Sakmarian","",295.5,290.1,10570,"gp_mid",-36.69,1.28,"101",1,292.8,"sakmarian",1
"10631",41322,"col","Dwyka",17.933332,-24.533333,"Dwyka Beds, Farm Hardap 110, Fish River, Mariental",NA,"",4,"Sakmarian","",295.5,290.1,11092,"gp_mid",-37.16,-56.79,"701",1,292.8,"sakmarian",1
"10633",41325,"col","Dwyka",18.116667,-25.666668,"Tses Native Reserve, north of Tses siding",NA,"",1,"Sakmarian","",295.5,290.1,11092,"gp_mid",-39.11,-57.22,"701",1,292.8,"sakmarian",1
"10635",41327,"col","Dwyka",18.35,-28.200001,"Haib, upper Dwyka Beds",NA,"",2,"Sakmarian","",295.5,290.1,11097,"gp_mid",-43.67,-57.92,"701",1,292.8,"sakmarian",1
"13482",45346,"col","",-136.462494,68.258331,"N-Yukon, Palaeoaplysina mound, Canada",NA,"Reef 182",8,"Sakmarian","",295.5,290.1,11805,"gp_mid",-20.6,38.13,"101",1,292.8,"sakmarian",1
"14247",47000,"col","Copacabana",-66.209167,-17.808332,"Copacabana: Apillapampa Sample 6-2538",NA,"",4,"Sakmarian","",295.5,290.1,12489,"gp_mid",-44.42,-33.46,"201",1,292.8,"sakmarian",1
"14248",47001,"col","Copacabana",-66.209167,-17.808332,"Copacabana Fm: Apillapampa Sample: 6-2532B",NA,"",2,"Sakmarian","",295.5,290.1,12489,"gp_mid",-44.42,-33.46,"201",1,292.8,"sakmarian",1
"14249",47002,"col","Copacabana",-66.209167,-17.808332,"Copacabana Fm: Apillapampa Sample 6-2539",NA,"",6,"Sakmarian","",295.5,290.1,12489,"gp_mid",-44.42,-33.46,"201",1,292.8,"sakmarian",1
"14250",47003,"col","Copacabana",-66.209167,-17.808332,"Copacabana Fm: Apillapampa Sample 6-2544",NA,"",3,"Sakmarian","",295.5,290.1,12489,"gp_mid",-44.42,-33.46,"201",1,292.8,"sakmarian",1
"14251",47004,"col","Copacobana",-66.209167,-17.808332,"Jun-45",NA,"",5,"Sakmarian","",295.5,290.1,12489,"gp_mid",-44.42,-33.46,"201",1,292.8,"sakmarian",1
"14252",47005,"col","Copacabana",-66.209167,-17.808332,"Copacabana Fm: Apillampampa Sample 6-2546",NA,"",4,"Sakmarian","",295.5,290.1,12489,"gp_mid",-44.42,-33.46,"201",1,292.8,"sakmarian",1
"14253",47006,"col","Copacabana",-66.209167,-17.808332,"Copacabana Fm: Apillapampa Sample 6-2572",NA,"",7,"Sakmarian","",295.5,290.1,12489,"gp_mid",-44.42,-33.46,"201",1,292.8,"sakmarian",1
"16181",50795,"col","",57.516666,58.866669,"Belaya Gora, coral framestone, Gubakha, Perwomajsk",NA,"Reef 3384",4,"Sakmarian","",295.5,290.1,13570,"gp_mid",40.64,27.73,"302",1,292.8,"sakmarian",1
"16182",50796,"col","",57.516666,58.866669,"Belaya Gora, Palaeoaplysina platestone, Gubakha, Perwomajsk",NA,"Reef 3382",15,"Sakmarian","",295.5,290.1,13570,"gp_mid",40.64,27.73,"302",1,292.8,"sakmarian",1
"21549",60366,"col","",58.217777,58.219166,"Koiva River, section 59, Interval 8, Beds 50-54",NA,"",2,"Sakmarian","",295.5,290.1,17361,"gp_mid",41.47,27.58,"302",1,292.8,"sakmarian",1
"22401",61506,"col","Dingjiazhai",99.278,25.15,"Woniusi Section, Dingjiazhai B, Baoshan Block",NA,"",1,"Sakmarian","",295.5,290.1,17736,"gp_mid",93.6,-44.7,"616",1,292.8,"sakmarian",1
"22402",61507,"col","Dingjiazhai",99.135002,25.075001,"Yangnaiqiao, Baoshan Block",NA,"",2,"Sakmarian","",295.5,290.1,17736,"gp_mid",93.76,-44.8,"616",1,292.8,"sakmarian",1
"22403",61508,"col","Dingjiazhai",99.265999,25.146999,"Jinjisi Section, Baoshan Block",NA,"",1,"Sakmarian","",295.5,290.1,17736,"gp_mid",93.61,-44.71,"616",1,292.8,"sakmarian",1
"22404",61509,"col","Dingjiazhai",99.133003,25.058001,"Sanbazi, Baoshan, Baoshan Block",NA,"",2,"Sakmarian","",295.5,290.1,17736,"gp_mid",93.78,-44.8,"616",1,292.8,"sakmarian",1
"22405",61510,"col","Dingjiazhai",99.136002,24.881001,"Dingjiazhai, Member B, Baoshan Block",NA,"",6,"Sakmarian","",295.5,290.1,17736,"gp_mid",94.02,-44.75,"616",1,292.8,"sakmarian",1
"22406",61511,"col","Dingjiazhai",99.151001,24.719999,"Dazhaimeng, Shidian Village, Baoshan Block",NA,"",1,"Sakmarian","",295.5,290.1,17736,"gp_mid",94.23,-44.69,"616",1,292.8,"sakmarian",1
"22407",61512,"col","Dingjiazhai",99.028999,23.893999,"Fengweiba, Baoshan Block",NA,"",5,"Sakmarian","",295.5,290.1,17736,"gp_mid",95.39,-44.56,"616",1,292.8,"sakmarian",1
"22545",61685,"col","",-115.591003,36.446999,"LACMIP 1268, Lee Canyon",NA,"",1,"Sakmarian","",295.5,290.1,17772,"gp_mid",-39.71,8.95,"101",1,292.8,"sakmarian",1
"22592",61732,"col","Bird Spring",-114.763,36.729,"LACMIP 2544, Arrow Canyon, Bed 229",NA,"",1,"Sakmarian","",295.5,290.1,17786,"gp_mid",-39.02,8.73,"101",1,292.8,"sakmarian",1
"22729",61939,"col","Atahoc",126,8.5,"Atahoc Fm - River Sumasse, East Timor",NA,"",7,"Sakmarian","",295.5,290.1,17924,"gp_mid",151.11,-23.7,"659",1,292.8,"sakmarian",1
"23239",62908,"col","Lochinvar",151.5,-32.68,"Lochinvar, Hunter River",NA,"",1,"Sakmarian","",295.5,290.1,42916,"gp_mid",172.38,-63.43,"801",1,292.8,"sakmarian",1
"24021",64344,"col","Sterlitamak",57,55.715,"Abdullino Reef Massif, Ai River, Bashkortostan",NA,"",1,"Sakmarian","",295.5,290.1,18560,"gp_mid",43.07,25.43,"302",1,292.8,"sakmarian",1
"24025",64357,"col","Nelynya-shor",60.799999,67.184998,"Nelynya-Shor Creek, Adz'va River, Nelynya-Shor Formation",NA,"",2,"Sakmarian","",295.5,290.1,18567,"gp_mid",34.04,34,"302",1,292.8,"sakmarian",1
"24027",64359,"col","Wasp Head",150.307007,-35.668999,"WPH, Wasp Head",NA,"",1,"Sakmarian","",295.5,290.1,18569,"gp_mid",174.62,-66.43,"801",1,292.8,"sakmarian",1
"29914",74743,"col","Langmariaga",89,31,"Angjie, Xainza County",NA,"",4,"Sakmarian","",295.5,290.1,27800,"gp_mid",78.97,-52.31,"613",1,292.8,"sakmarian",1
"30284",75612,"col","",59.299999,65.783333,"Kozhym River Carbonate Bank, Palaeoaplysina bafflestone",NA,"Reef 2252",18,"Sakmarian","",295.5,290.1,25539,"gp_mid",34.99,32.7,"302",1,292.8,"sakmarian",1
"30405",121511,"col","Alacran Mountain",-107.705002,31.924999,"USNM725, Tres Hermanas Mountains",NA,"",1,"Sakmarian","",295.5,290.1,11477,"gp_mid",-37.49,1.33,"101",1,292.8,"sakmarian",1
"30472",76088,"col","Nansen",-85.916664,78.366669,"Raanes Peninsula III, Canada, Ellesmere Island, Nunavut",NA,"Reef 190",2,"Sakmarian","",295.5,290.1,25790,"gp_mid",1.75,31.36,"106",1,292.8,"sakmarian",1
"32956",81978,"col","Copacabana",-68.910004,-15.886,"Ancoraimes Section An22",NA,"",1,"Sakmarian","",295.5,290.1,27647,"gp_mid",-45.97,-30.52,"201",1,292.8,"sakmarian",1
"33430",82630,"col","Singa",99.815002,6.335,"Batu Asah, Kuan Town, Langkawi Island",NA,"",11,"Sakmarian","",295.5,290.1,27809,"gp_mid",116.14,-36.62,"616",1,292.8,"sakmarian",1
"33584",82825,"col","",48.970001,67.485001,"Belaya River, Sakmarian, Northern Timan Mountains",NA,"",9,"Sakmarian","",295.5,290.1,27342,"gp_mid",30.38,30.65,"302",1,292.8,"sakmarian",1
"33585",82826,"col","",59,66.330002,"Belii Mokh, Outcrop 59, Pechora River",NA,"",1,"Sakmarian","",295.5,290.1,27343,"gp_mid",34.38,32.93,"302",1,292.8,"sakmarian",1
"34712",84590,"col","Allandale",151.419998,-32.723,"BMR HV9b, Allandale",NA,"",2,"Sakmarian","",295.5,290.1,27376,"gp_mid",172.31,-63.5,"801",1,292.8,"sakmarian",1
"35555",86028,"col","",57.650002,62.669998,"Bolshaya Anyo River, Sakmarian, Il'cha River Basin",NA,"",3,"Sakmarian","",295.5,290.1,27343,"gp_mid",37.36,30.22,"302",1,292.8,"sakmarian",1
"35822",86534,"col","Agglomeratic Slate",74.878998,34.104,"Bren Spur A1",NA,"",6,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.35,-54.82,"501",1,292.8,"sakmarian",1
"35823",86535,"col","Agglomeratic Slate",74.877998,34.104,"Bren Spur A2",NA,"",1,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35824",86536,"col","Agglomeratic Slate",74.882004,34.099998,"Bren Spur B",NA,"",9,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35825",86537,"col","Agglomeratic Slate",74.880997,34.101002,"Bren Spur C",NA,"",2,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35826",86538,"col","Agglomeratic Slate",74.880997,34.099998,"Bren Spur D",NA,"",3,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35827",86539,"col","Agglomeratic Slate",74.883003,34.098999,"Bren Spur E",NA,"",2,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35828",86540,"col","Agglomeratic Slate",74.884003,34.098999,"Bren Spur F",NA,"",2,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.83,"501",1,292.8,"sakmarian",1
"35829",86541,"col","Agglomeratic Slate",74.884003,34.098,"Bren Spur G",NA,"",1,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.83,"501",1,292.8,"sakmarian",1
"35830",86542,"col","Agglomeratic Slate",74.883003,34.098,"Bren Spur Horizon 1",NA,"",14,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.83,"501",1,292.8,"sakmarian",1
"35831",86543,"col","Agglomeratic Slate",74.884003,34.098,"Bren Spur Horizon 3",NA,"",30,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.83,"501",1,292.8,"sakmarian",1
"35832",86544,"col","Agglomeratic Slate",74.883003,34.098999,"Bren Spur Horizon 4",NA,"",1,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35833",86545,"col","Agglomeratic Slate",74.880997,34.101002,"Bren Spur Middlemiss Locality 1",NA,"",22,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35834",86546,"col","Agglomeratic Slate",74.884003,34.098999,"Bren Spur Middlemiss Locality 2",NA,"",4,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.83,"501",1,292.8,"sakmarian",1
"35835",86547,"col","Agglomeratic Slate",74.877998,34.104,"Bren Spur Quarry Locality",NA,"",2,"Sakmarian","",295.5,290.1,26595,"gp_mid",61.34,-54.82,"501",1,292.8,"sakmarian",1
"35843",86578,"col","Gusinaya",63.849998,68.75,"Brus-Yagovosh Creek, Lower Kara River, Pai-Khoy Range",NA,"",1,"Sakmarian","",295.5,290.1,29171,"gp_mid",33.2,35.81,"302",1,292.8,"sakmarian",1
"36331",87343,"col","Bundella",147.026001,-43.201,"C3, Wheatley's Bay, Cygnet",NA,"",1,"Sakmarian","",295.5,290.1,18569,"gp_mid",-175.86,-73.71,"801",1,292.8,"sakmarian",1
"37158",88405,"col","Sokolov",52.400002,71.5,"Cape Belushiy, Sample 101-2, Novaya Zemlya",NA,"",2,"Sakmarian","",295.5,290.1,27332,"gp_mid",27.74,34.2,"302",1,292.8,"sakmarian",1
"37159",88406,"col","Sokolov",52.469002,71.537003,"Cape Belushiy, Sample 19-4, Novaya Zemlya",NA,"",1,"Sakmarian","",295.5,290.1,27332,"gp_mid",27.72,34.24,"302",1,292.8,"sakmarian",1
"37160",88407,"col","Sokolov",52.432999,71.544998,"Cape Belushiy, Sample 21-4, Novaya Zemlya",NA,"",2,"Sakmarian","",295.5,290.1,27332,"gp_mid",27.7,34.23,"302",1,292.8,"sakmarian",1
"37186",88432,"col","Sokolov",57.5,70.800003,"Cape Perovskiy, Collection 13800-3a, Novaya Zemlya",NA,"",2,"Sakmarian","",295.5,290.1,29395,"gp_mid",29.62,35.09,"302",1,292.8,"sakmarian",1
"37393",88660,"col","Golden Valley",146.949997,-43.450001,"Cave Hill, Ida Bay",NA,"",1,"Sakmarian","",295.5,290.1,14254,"gp_mid",-175.32,-73.92,"801",1,292.8,"sakmarian",1
"38169",90288,"col","",57.724998,54.994446,"Sim Section 962",NA,"",5,"Sakmarian","",295.5,290.1,30310,"gp_mid",43.97,25.25,"302",1,292.8,"sakmarian",1
"38175",90294,"col","",58.150002,55.166668,"Chulpan-Mesyagutovo roadcut, near Maloyaz, section 1507",NA,"",2,"Sakmarian","",295.5,290.1,30310,"gp_mid",44.01,25.54,"302",1,292.8,"sakmarian",1
"38177",90296,"col","",56.200001,56.333332,"Tra-Tau Hill Section 3000",NA,"",2,"Sakmarian","",295.5,290.1,30310,"gp_mid",42.23,25.52,"302",1,292.8,"sakmarian",1
"38178",90297,"col","",56.200001,56.333332,"Tra-Tau Hill Section 3003",NA,"",1,"Sakmarian","",295.5,290.1,30310,"gp_mid",42.23,25.52,"302",1,292.8,"sakmarian",1
"38179",90298,"col","",57.666668,55,"Sim–Min’yar roadcut, Sim, section sk5",NA,"",1,"Sakmarian","",295.5,290.1,30310,"gp_mid",43.94,25.23,"302",1,292.8,"sakmarian",1
"38180",90299,"col","",57.683334,54.983334,"Sim River, section sk7",NA,"",1,"Sakmarian","",295.5,290.1,30310,"gp_mid",43.96,25.22,"302",1,292.8,"sakmarian",1
"38204",90390,"col","Allandale",151.417007,-32.722,"Allandale railway cutting",NA,"",5,"Sakmarian","",295.5,290.1,30369,"gp_mid",172.31,-63.51,"801",1,292.8,"sakmarian",1
"38538",91012,"col","",98.628609,18.688334,"Fag-14, Chiang Mai",NA,"",1,"Sakmarian","",295.5,290.1,30618,"gp_mid",102.37,-43.18,"616",1,292.8,"sakmarian",1
"38541",91015,"col","",98.628609,18.688334,"Fag-18, Chiang Mai",NA,"",3,"Sakmarian","",295.5,290.1,30618,"gp_mid",102.37,-43.18,"616",1,292.8,"sakmarian",1
"40962",94869,"col","Irbychan",152.020004,67.099998,"Sededema River, volcanic tuff, Kolyma Basin",NA,"",1,"Sakmarian","",295.5,290.1,38767,"gp_mid",4.55,61.33,"405",1,292.8,"sakmarian",1
"41086",94994,"col","",48.970001,67.485001,"Belaya River, mouth of Karasikovoy Viski",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",30.38,30.65,"302",1,292.8,"sakmarian",1
"41101",95009,"col","",106.800003,25.33,"Biaoping, Ziyun County, Parawentzellophyllum-Kepingophyllum assemblage",NA,"",2,"Sakmarian","",295.5,290.1,32367,"gp_mid",130.72,-11.71,"611",1,292.8,"sakmarian",1
"41109",95023,"col","Allandale",151.375,-32.740002,"Black Creek, Allandale-Rothbury road crossing",NA,"",1,"Sakmarian","",295.5,290.1,32369,"gp_mid",172.26,-63.54,"801",1,292.8,"sakmarian",1
"41138",95052,"col","Tastuba",57.099998,54.924999,"Bolshaya Zmeinaya Mountain, Outcrop 22",NA,"",1,"Sakmarian","",295.5,290.1,32348,"gp_mid",43.76,24.94,"302",1,292.8,"sakmarian",1
"41139",95053,"col","Tastuba",57.099998,54.924999,"Bolshaya Zmeinaya Mountain, Outcrop 36",NA,"",1,"Sakmarian","",295.5,290.1,32348,"gp_mid",43.76,24.94,"302",1,292.8,"sakmarian",1
"41383",95310,"col","Pelski",49.75,66.974998,"Sula River, Barkhatova locality 9",NA,"",1,"Sakmarian","",295.5,290.1,32429,"gp_mid",31.05,30.52,"302",1,292.8,"sakmarian",1
"41384",95311,"col","Pelski",49.75,66.974998,"Sula River, Barkhatova locality 10",NA,"",1,"Sakmarian","",295.5,290.1,32429,"gp_mid",31.05,30.52,"302",1,292.8,"sakmarian",1
"41385",95312,"col","Ilibei",49.75,66.974998,"Sula River, Barkhatova locality 11",NA,"",1,"Sakmarian","",295.5,290.1,32429,"gp_mid",31.05,30.52,"302",1,292.8,"sakmarian",1
"41758",95714,"col","Wasp Head",150.299805,-35.679501,"Dark Beach DB2",NA,"",4,"Sakmarian","",295.5,290.1,27370,"gp_mid",174.63,-66.44,"801",1,292.8,"sakmarian",1
"41790",95746,"col","Darlington",148.076004,-42.571999,"Darlington, just above Eurydesma beds, Maria Island",NA,"",1,"Sakmarian","",295.5,290.1,32369,"gp_mid",-175.69,-72.72,"801",1,292.8,"sakmarian",1
"41802",95758,"col","Maping",106.611,26.253,"Datiankan, Maling, Huaxi, Guiyang",NA,"",1,"Sakmarian","",295.5,290.1,32416,"gp_mid",129.86,-11.3,"611",1,292.8,"sakmarian",1
"42040",96012,"col","Bird Spring",-114.716667,36.866669,"SJS-1218, Farrier",NA,"",1,"Sakmarian","",295.5,290.1,32585,"gp_mid",-38.9,8.81,"101",1,292.8,"sakmarian",1
"42359",96797,"col","Langmariaga",89,31,"Derilangma, Langmariaga Fm, Xainza County",NA,"",1,"Sakmarian","",295.5,290.1,27800,"gp_mid",78.97,-52.31,"613",1,292.8,"sakmarian",1
"42724",97285,"col","Delgerkhan",102.800003,46.349998,"Dumda-Usu Well, Delgerkhan Somon",NA,"",3,"Sakmarian","",295.5,290.1,27329,"gp_mid",80.94,50.53,"401",1,292.8,"sakmarian",1
"42738",97303,"col","Tastuba",57.889999,55.700001,"Duvan Mountain, Southern Urals",NA,"",1,"Sakmarian","",295.5,290.1,33188,"gp_mid",43.46,25.79,"302",1,292.8,"sakmarian",1
"42739",97304,"col","",57.889999,55.700001,"Duvan Reef, Yaroslavska",NA,"",2,"Sakmarian","",295.5,290.1,46656,"gp_mid",43.46,25.79,"302",1,292.8,"sakmarian",1
"45243",101076,"col","Saiwan",57.633331,20.983334,"Huqf 3",NA,"",3,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.13,-44.08,"503",1,292.8,"sakmarian",1
"45244",101077,"col","Saiwan",57.627777,20.941668,"Huqf 4",NA,"",5,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.12,-44.13,"503",1,292.8,"sakmarian",1
"45245",101078,"col","Saiwan",57.607498,20.867779,"Saiwan 1 OL14",NA,"",6,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.08,-44.2,"503",1,292.8,"sakmarian",1
"45246",101079,"col","Saiwan",57.607498,20.867779,"Saiwan 1 OL15",NA,"",13,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.08,-44.2,"503",1,292.8,"sakmarian",1
"45247",101080,"col","Saiwan",57.604,20.868999,"Saiwan 1 OL16",NA,"",7,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.08,-44.2,"503",1,292.8,"sakmarian",1
"45248",101081,"col","Saiwan",57.602001,20.865,"Saiwan 1 OL17",NA,"",6,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.08,-44.2,"503",1,292.8,"sakmarian",1
"45249",101082,"col","Saiwan",57.599998,20.865999,"Saiwan 1 OL18",NA,"",4,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.07,-44.2,"503",1,292.8,"sakmarian",1
"45250",101083,"col","Saiwan",57.625,21.017,"Wadi Haushi OL10",NA,"",7,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.13,-44.05,"503",1,292.8,"sakmarian",1
"45251",101084,"col","Saiwan",57.625,21.017,"Wadi Haushi OL11",NA,"",4,"Sakmarian","",295.5,290.1,27465,"gp_mid",53.13,-44.05,"503",1,292.8,"sakmarian",1
"45252",101085,"col","Saiwan",57.5,21,"Saiwan OL70",NA,"",1,"Sakmarian","",295.5,290.1,27465,"gp_mid",52.96,-44.06,"503",1,292.8,"sakmarian",1
"45575",101575,"col","Wasp Head",150.304993,-35.667,"UQ L3158, Wasp Head",NA,"UQ L10005, L10084; Bed 5.2",8,"Sakmarian","",295.5,290.1,27376,"gp_mid",174.62,-66.43,"801",1,292.8,"sakmarian",1
"45725",101747,"col","Pelskaya",49,67.599998,"Belaya River, near mouth, northern Timan",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",30.29,30.74,"302",1,292.8,"sakmarian",1
"45726",101748,"col","Pelskaya",47.950001,67.099998,"Bolshaya Pokayama creek, Pelskaya Fm, Volonga River",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",30.38,30.1,"302",1,292.8,"sakmarian",1
"45727",101750,"col","",47.950001,67.099998,"Bolshaya Pokayama creek, Nenets/Ilibey Fm, Volonga River",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",30.38,30.1,"302",1,292.8,"sakmarian",1
"45728",101751,"col","Pelskaya",51.779999,66.93,"Indiga River, above mouth of Gusinets River",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",31.71,31.08,"302",1,292.8,"sakmarian",1
"45729",101752,"col","",49.049999,67.650002,"Indiga River, above Zheleznikh Vorot",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",30.26,30.78,"302",1,292.8,"sakmarian",1
"45730",101753,"col","",47.950001,67.099998,"Malaya Pokayama creek, Nenets/Ilibey Fm, Volonga River",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",30.38,30.1,"302",1,292.8,"sakmarian",1
"45731",101754,"col","Pelskaya",47.950001,67.099998,"Malaya Pokayama creek, Pelskaya Fm, Volonga River",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",30.38,30.1,"302",1,292.8,"sakmarian",1
"45732",101755,"col","Pelskaya",52.700001,67.050003,"Shchuch'ya River, above waterfall",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",31.88,31.43,"302",1,292.8,"sakmarian",1
"45733",101756,"col","",52.700001,67.050003,"Shchuch'ya River, below mouth of Ostrogi River",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",31.88,31.43,"302",1,292.8,"sakmarian",1
"45735",101758,"col","",53.700001,66.849998,"Sula River, Nenets/Ilibey Fm, above mouth of Yangyta river",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",32.36,31.59,"302",1,292.8,"sakmarian",1
"45736",101759,"col","Pelskaya",53.700001,66.849998,"Sula River, Pelskaya Fm, above mouth of Yangyta river",NA,"",1,"Sakmarian","",295.5,290.1,31711,"gp_mid",32.36,31.59,"302",1,292.8,"sakmarian",1
