"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"1355",2915,"col","Porters Creek",-87.75528,32.204166,"AMa-1 (Porters Creek)",NA,"",8,"Selandian","",61.6,59.2,124,"gp_mid",-59.27,36.39,"101",60.4
"1356",2916,"col","Porters Creek",-87.566666,32.121113,"AWi-11 (Porters Creek)",NA,"",13,"Selandian","",61.6,59.2,124,"gp_mid",-59.12,36.26,"101",60.4
"1357",2917,"col","Porters Creek",-87.445831,32.03389,"AWi-12 (Porters Creek)",NA,"",17,"Selandian","",61.6,59.2,124,"gp_mid",-59.03,36.14,"109",60.4
"1358",2918,"col","Porters Creek",-87.42083,32.031666,"AWi-13 (Porters Creek)",NA,"",35,"Selandian","",61.6,59.2,124,"gp_mid",-59.01,36.13,"109",60.4
"1359",2919,"col","Porters Creek",-87.445831,32.03389,"AWi-14 (Porters Creek)",NA,"",48,"Selandian","",61.6,59.2,124,"gp_mid",-59.03,36.14,"109",60.4
"3285",7791,"col","Ewekoro",3.19,6.92,"Ewekoro Quarry",NA,"",237,"Selandian","",61.6,59.2,496,"gp_mid",3.32,-5.75,"714",60.4
"12294",22943,"col","Agatdal",-53.066666,70.599998,"Sonja Lens, Agatdalen, Nugssuaq, Greenland",NA,"",176,"Selandian","",61.6,59.2,6604,"gp_mid",-7.05,59.75,"102",60.4
"12295",22944,"col","Agatdal",-53.099998,70.599998,"Turritellakloft, Agatdalen, Turritellakloft Member, Nugssuaq, Greenland",NA,"",78,"Selandian","",61.6,59.2,6604,"gp_mid",-7.07,59.75,"102",60.4
"12296",22945,"col","Agatdal",-53.049999,70.599998,"Qaersutjaegerdal, Agatdalen, Nugssuaq, Greenland",NA,"",40,"Selandian","",61.6,59.2,6604,"gp_mid",-7.04,59.74,"102",60.4
"20473",35263,"col","Lellinge Greensand",12.598889,55.712223,"Sundkrogen 1a-b",NA,"",112,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4
"20474",35264,"col","Lellinge Greensand",12.598889,55.712223,"Sundkrogen 1c",NA,"",103,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4
"20475",35265,"col","Lellinge Greensand",12.598889,55.712223,"Sundkrogen 2",NA,"",130,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4
"20476",35266,"col","Lellinge Greensand",12.598889,55.712223,"Sundkrogen 3",NA,"",146,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4
"20477",35267,"col","Lellinge Greensand",12.598889,55.712223,"Sundkrogen 4, Selandian, Denmark",NA,"",125,"Selandian","",61.6,59.2,9445,"gp_mid",19.09,44.87,"302",60.4
"33117",51500,"col","Lellinge Greensand",10.466667,55.483334,"Klintebjerg",NA,"",61,"Selandian","",61.6,59.2,13698,"gp_mid",17.38,44.7,"302",60.4
"45580",68176,"col","",-5.85,34.316666,"Ouled Abdoun Basin (lowermost bed 1)",NA,"quarries of Sidi Daoui and Recette 4",5,"Selandian","",61.6,59.2,23856,"gp_mid",NA,NA,"coordinates not computable using this model",60.4
"45793",68431,"col","Heers",4.999722,50.711109,"Maret",NA,"",7,"Selandian","",61.6,59.2,19707,"gp_mid",12.55,40.14,"315",60.4
"45794",68432,"col","Hannut",4.999722,50.711109,"Maret (Tuffeau de Lincent)",NA,"",2,"Selandian","",61.6,59.2,19707,"gp_mid",12.55,40.14,"315",60.4
"46174",68822,"col","Waipara Greensand",172.600006,-43.066666,"Waipara River M34/f453",NA,"",5,"Selandian","",61.6,59.2,19864,"gp_mid",-151.52,-48.23,"807",60.4
"46616",69608,"col","Agatdal",-53.099998,70.599998,"Turritellakloft, Agatdalen, Abraham Member, Nugssuaq, Greenland",NA,"",5,"Selandian","",61.6,59.2,23353,"gp_mid",-7.07,59.75,"102",60.4
"49788",74643,"col","",11.065556,52.280556,"Walbeck",NA,"",24,"Selandian","",61.6,59.2,25122,"gp_mid",17.65,41.48,"315",60.4
"52286",79300,"col","",14,45.733334,"Dolenja vas West, Bed 22",NA,"Dolenja vas, Bed 22",1,"Selandian","",61.6,59.2,26586,"gp_mid",21.43,30.55,"307",60.4
"52287",79301,"col","",14,45.733334,"Dolenja vas West, Bed 23",NA,"Dolenja vas, Bed 23",1,"Selandian","",61.6,59.2,26586,"gp_mid",21.43,30.55,"307",60.4
"53007",80977,"col","Hornerstown",-74.75,39.93,"Vincentown (Bryan collection, Hornerstown Fm)",NA,"",1,"Selandian","",61.6,59.2,27244,"gp_mid",-43.33,40.03,"109",60.4
"53466",81800,"col","Vine Hill Sandstone",-122.125,37.965,"UCMP 243, south of Muir Station",NA,"",7,"Selandian","",61.6,59.2,64128,"gp_mid",-90.02,47.67,"130",60.4
"53603",82060,"col","Landana",12.135,-5.225,"Bed 4, Landana Section",NA,"",4,"Selandian","",61.6,59.2,27671,"gp_mid",9.68,-19.49,"701",60.4
"53604",195086,"col","Landana",12.133333,-5.233333,"Landana Section (layer 1)",NA,"",1,"Selandian","",61.6,59.2,66354,"gp_mid",9.67,-19.5,"701",60.4
"55356",84469,"col","Porters Creek",-87.283333,31.983334,"ALA-1",NA,"",28,"Selandian","",61.6,59.2,28119,"gp_mid",-58.89,36.05,"109",60.4
"55357",84471,"col","Porters Creek",-87.283333,31.983334,"ALA-2",NA,"",21,"Selandian","",61.6,59.2,28119,"gp_mid",-58.89,36.05,"109",60.4
"55840",85066,"col","Porters Creek",-87.150002,31.933332,"Oak Hill",NA,"",1,"Selandian","",61.6,59.2,28573,"gp_mid",-58.78,35.96,"109",60.4
"56351",85839,"col","Waipara Greensand",172.53334,-43.033333,"Waipara River M34/fl138",NA,"",3,"Selandian","",61.6,59.2,19864,"gp_mid",-151.59,-48.2,"807",60.4
"56558",86172,"col","Porters Creek",-88,32.233334,"ACh-1 Rep 1",NA,"",25,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4
"56559",86173,"col","Porters Creek",-88,32.233334,"ACh-1 Rep 2",NA,"",20,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4
"56560",86174,"col","Porters Creek",-88,32.233334,"ACh-1 Rep 3",NA,"",10,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4
"56561",86175,"col","Porters Creek",-88,32.233334,"ACh-1 Rep 4",NA,"",18,"Selandian","",61.6,59.2,28506,"gp_mid",-59.5,36.48,"101",60.4
"56566",86180,"col","Porters Creek",-87.433334,32.016666,"AWi-13 Rep 3",NA,"",11,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4
"56567",86181,"col","Porters Creek",-87.433334,32.016666,"AWi-14 Rep 1",NA,"",24,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4
"56568",86182,"col","Porters Creek",-87.433334,32.016666,"AWi-14 Rep 2",NA,"",28,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4
"56570",86184,"col","Porters Creek",-87.433334,32.016666,"AWi-14 Rep 4",NA,"",9,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4
"56572",86186,"col","Porters Creek",-87.433334,32.016666,"AWi-14 Rep 5",NA,"",11,"Selandian","",61.6,59.2,28506,"gp_mid",-59.03,36.12,"109",60.4
"56583",86259,"col","Porters Creek",-87.433334,31.016666,"PRI Matthews Landing 1",NA,"",1,"Selandian","",61.6,59.2,28506,"gp_mid",-59.43,35.17,"109",60.4
"56584",86262,"col","Porters Creek",-87.433334,31.016666,"PRI Matthews Landing 2",NA,"",4,"Selandian","",61.6,59.2,28506,"gp_mid",-59.43,35.17,"109",60.4
"57764",87817,"col","Porters Creek",-87.416664,32.016666,"Matthews Landing",NA,"",20,"Selandian","",61.6,59.2,13490,"gp_mid",-59.01,36.12,"109",60.4
"59183",89867,"col","Naheola",-87.349998,31.9,"Locality B",NA,"AWi-20",11,"Selandian","",61.6,59.2,29915,"gp_mid",-58.99,35.99,"109",60.4
"59193",89947,"col","Porters Creek",-87.283333,31.983334,"Parsely Creek",NA,"",11,"Selandian","",61.6,59.2,29915,"gp_mid",-58.89,36.05,"109",60.4
"59614",90605,"col","Naheola",-88.016113,32.233334,"PRI 2181",NA,"",4,"Selandian","",61.6,59.2,11845,"gp_mid",-59.52,36.49,"101",60.4
"59615",90606,"col","Porters Creek",-87.283333,31.983334,"PRI 2185",NA,"",59,"Selandian","",61.6,59.2,11845,"gp_mid",-58.89,36.05,"109",60.4
"59617",90607,"col","Naheola",-87.082779,31.92111,"PRI 2186",NA,"",10,"Selandian","",61.6,59.2,11845,"gp_mid",-58.72,35.93,"109",60.4
"59618",90608,"col","Naheola",-87.082779,31.92111,"PRI 2187",NA,"",11,"Selandian","",61.6,59.2,11845,"gp_mid",-58.72,35.93,"109",60.4
"59624",98384,"col","Naheola",-88.033333,32.366669,"M 672",NA,"",2,"Selandian","",61.6,59.2,11845,"gp_mid",-59.48,36.62,"101",60.4
